Data columns are Qx - Qy - I(Qx,Qy)

ASCII data created at 15:12 on Jan 25 24 

4.38776  4.38776  1.30605e+06
4.59184  4.38776  1.13461e+06
4.79592  4.38776  971310
5  4.38776  818890
-5  4.59184  708767
-4.79592  4.59184  842360
-4.59184  4.59184  985002
-4.38776  4.59184  1.13408e+06
-4.18367  4.59184  1.28623e+06
-3.97959  4.59184  1.43728e+06
-3.77551  4.59184  1.58235e+06
-3.57143  4.59184  1.71589e+06
-3.36735  4.59184  1.83187e+06
-3.16327  4.59184  1.92403e+06
-2.95918  4.59184  1.98618e+06
-2.7551  4.59184  2.01264e+06
-2.55102  4.59184  1.99874e+06
-2.34694  4.59184  1.94132e+06
-2.14286  4.59184  1.83934e+06
-1.93878  4.59184  1.6943e+06
-1.73469  4.59184  1.51066e+06
-1.53061  4.59184  1.29601e+06
-1.32653  4.59184  1.06088e+06
-1.12245  4.59184  818388
-0.918367  4.59184  583353
-0.714286  4.59184  371237
-0.510204  4.59184  196797
-0.306122  4.59184  72687.9
-0.102041  4.59184  8181.04
0.102041  4.59184  8181.11
0.306122  4.59184  72689.8
0.510204  4.59184  196806
0.714286  4.59184  371260
0.918367  4.59184  583399
1.12245  4.59184  818467
1.32653  4.59184  1.06101e+06
1.53061  4.59184  1.29618e+06
1.73469  4.59184  1.5109e+06
1.93878  4.59184  1.69459e+06
2.14286  4.59184  1.83969e+06
2.34694  4.59184  1.94174e+06
2.55102  4.59184  1.99921e+06
2.7551  4.59184  2.01316e+06
2.95918  4.59184  1.98674e+06
3.16327  4.59184  1.92462e+06
3.36735  4.59184  1.83248e+06
3.57143  4.59184  1.71651e+06
3.77551  4.59184  1.58297e+06
3.97959  4.59184  1.43789e+06
4.18367  4.59184  1.28682e+06
4.38776  4.59184  1.13465e+06
4.59184  4.59184  985541
4.79592  4.59184  842863
5  4.59184  709231
-5  4.79592  603241
-4.79592  4.79592  719070
-4.59184  4.79592  842428
-4.38776  4.79592  970888
-4.18367  4.79592  1.10137e+06
-3.97959  4.79592  1.23014e+06
-3.77551  4.79592  1.35287e+06
-3.57143  4.79592  1.46474e+06
-3.36735  4.79592  1.56059e+06
-3.16327  4.79592  1.63514e+06
-2.95918  4.79592  1.68333e+06
-2.7551  4.79592  1.70061e+06
-2.55102  4.79592  1.6834e+06
-2.34694  4.79592  1.62951e+06
-2.14286  4.79592  1.53856e+06
-1.93878  4.79592  1.4123e+06
-1.73469  4.79592  1.25492e+06
-1.53061  4.79592  1.07306e+06
-1.32653  4.79592  875664
-1.12245  4.79592  673604
-0.918367  4.79592  478964
-0.714286  4.79592  304178
-0.510204  4.79592  160991
-0.306122  4.79592  59397.6
-0.102041  4.79592  6681.53
0.102041  4.79592  6681.59
0.306122  4.79592  59399.2
0.510204  4.79592  160998
0.714286  4.79592  304197
0.918367  4.79592  479003
1.12245  4.79592  673672
1.32653  4.79592  875769
1.53061  4.79592  1.0732e+06
1.73469  4.79592  1.25512e+06
1.93878  4.79592  1.41255e+06
2.14286  4.79592  1.53886e+06
2.34694  4.79592  1.62987e+06
2.55102  4.79592  1.68381e+06
2.7551  4.79592  1.70106e+06
2.95918  4.79592  1.68381e+06
3.16327  4.79592  1.63566e+06
3.36735  4.79592  1.56112e+06
3.57143  4.79592  1.46529e+06
3.77551  4.79592  1.35342e+06
3.97959  4.79592  1.23068e+06
4.18367  4.79592  1.10189e+06
4.38776  4.79592  971387
4.59184  4.79592  842898
4.79592  4.79592  719508
5  4.79592  603644
-5  5  503996
-4.79592  5  603299
-4.59184  5  708892
-4.38776  5  818566
-4.18367  5  929556
-3.97959  5  1.03856e+06
-3.77551  5  1.1418e+06
-3.57143  5  1.23512e+06
-3.36735  5  1.31414e+06
-3.16327  5  1.37449e+06
-2.95918  5  1.412e+06
-2.7551  5  1.42307e+06
-2.55102  5  1.40499e+06
-2.34694  5  1.35624e+06
-2.14286  5  1.27687e+06
-1.93878  5  1.16869e+06
-1.73469  5  1.03548e+06
-1.53061  5  882976
-1.32653  5  718683
-1.12245  5  551540
-0.918367  5  391358
-0.714286  5  248112
-0.510204  5  131141
-0.306122  5  48340.4
-0.102041  5  5435.2
0.102041  5  5435.25
0.306122  5  48341.8
0.510204  5  131147
0.714286  5  248128
0.918367  5  391391
1.12245  5  551597
1.32653  5  718771
1.53061  5  883102
1.73469  5  1.03565e+06
1.93878  5  1.1689e+06
2.14286  5  1.27713e+06
2.34694  5  1.35655e+06
2.55102  5  1.40534e+06
2.7551  5  1.42346e+06
2.95918  5  1.41241e+06
3.16327  5  1.37493e+06
3.36735  5  1.3146e+06
3.57143  5  1.23559e+06
3.77551  5  1.14227e+06
3.97959  5  1.03902e+06
4.18367  5  930003
4.38776  5  818994
4.59184  5  709295
4.79592  5  603673
5  5  504339
